release year,mean,min,max
1990,65.0,65.0,65.0
1992,70.0,70.0,70.0
1993,87.0,81.0,96.0
1994,80.0,70.0,93.0
1995,69.0,64.0,74.0
1997,80.8,72.0,93.0
1998,79.0,64.0,88.0
1999,78.25,67.0,95.0
2000,85.0,74.0,95.0
2001,87.0,78.0,96.0
2002,90.5,86.0,95.0
2003,72.6,56.0,98.0
2004,83.0,82.0,85.0
2005,88.14285714285714,79.0,92.0
2006,69.28571428571429,55.0,91.0
2007,73.2,58.0,94.0
2008,79.83333333333333,56.0,98.0
2009,75.0,56.0,95.0
2010,78.33333333333333,55.0,98.0
2011,89.0,88.0,90.0
2012,79.4375,59.0,97.0
2013,76.9090909090909,57.0,97.0
2014,74.91666666666667,57.0,94.0
2015,82.75,56.0,98.0
2016,84.31395348837209,56.0,98.0
2017,88.125,71.0,99.0
